comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
093,where,2,"Some recurring elements like initial 'n', 'ka/ke', 'na', 'ta/te', and open/close syllables (VCV/CVCV) in both bags; a few resemblances between forms with nasal and stop-initial syllables, but widespread, strong, or systematic similarities are lacking.","While both bags show frequent forms containing nasal or stop-initial CV syllables (such as 'na', 'ka', 'ta', 'te', etc.) and some forms with similar open/closed structures, this is common in many languages and does not form a strong pattern. There are a few accidental lookalikes (e.g., 'nai', 'na', 'ka', 'tei', 'nau', 'no'), but no convincing, deeply recurrent shapes or clear systematic correspondences between the two bags.",40,80,0
094,heavy,2,"Some nasal-initial forms and -n/-ŋ codas seen in both, but patterns are inconsistent and not widespread across both bags.","While both bags contain several forms with nasal stops (e.g. 'nak', 'naŋ', 'han', 'hi.⁴²_haŋ.⁴²' in bag_a, 'nadammat', 'nadammát', 'mbajakɔ', 'pataŋa' in bag_b) and some final velar nasals/k (e.g. 'nak', 'taŋ', 'naŋ', 'khɨn' in bag_a, 'pataŋa', 'sadəLuŋ' in bag_b), these similarities are scattered and occur in divergent environments. The overall phonological patterns differ considerably and there are no robust recurring shared skeletons across both bags to suggest widespread hypothetical cognacy.",18,80,0
095,cry,2,"Some similar CVCV or CVCVC patterns and recurring segments like ""-ai"" and ""ŋ"" in both bags, but correspondences are inconsistent and overlap is weak.","While both bags show forms with sequences like ""ai,"" ""ŋ,"" and CVCV structures, the overall segmental similarities are limited and often appear coincidental. There is little consistent or widespread matching of segment skeletons across multiple items in both bags, reducing the promise for hypothetical cognacy.",19,80,0
096,sharp,1,none noted,"Bag A has a predominance of short, often monosyllabic forms featuring high front vowels (i/ɪ/e), diphthongs with -i or -ai, and onset clusters or palatal/velar initials, while Bag B is dominated by longer, polysyllabic structures with frequent initial 'ma-' and variable CV patterns. There are no clearly recurring shared consonant/vowel skeletons or segmental patterns that appear across multiple items in both bags, nor do any shapes suggest plausible widespread correspondences.",36,80,0
097,near,1,none noted,"The forms in bag_a are overwhelmingly monosyllabic or sesquisyllabic with frequent CV(V) or CCV(V) shapes, common use of palatal(ized) initials (kj-, cj-, kl-, etc.), and diphthongs or complex nuclei. In contrast, bag_b forms are predominantly longer, with multi-syllabic or reduplicated shapes and a different phonotactic profile. No recurring skeletons or plausible systematic segment correspondences are observed across both bags.",34,80,0
098,they,1,none noted,"There are minimal to no recurring phonological shapes or patterns that appear across both sets. While both bags contain forms with a variety of syllable structures and some superficial similarities (e.g., syllables like 'man', 'ra', 'te', 'si', etc.), these are scattered and not repeated widely or systematically across both sets. The overall phonological inventories and structure appear quite distinct, giving little evidence for hypothetical cognacy based on shape alone.",40,80,0
099,year,1,none noted,"Bag A has a strong concentration of forms centered on pV(i/e) and nVn or mV structures, with frequent short and simple syllabic structures. Bag B is much more diverse, with minimal recurrence of these shapes and no consistent segmental patterns linking both sets. No promising or recurrent segmental similarities are found across both bags.",22,80,0
100,you,2,"Some recurrence of initial k-/g-/ŋg- + a/u or a/o/u finals, and a few CVm/CVn/CVmV structures. Both bags contain forms ending with -u/-o or incorporating -m-, but no strong widespread shared templates or clusters.","Both bags exhibit a number of forms with initial k-/g-/ŋg- or s-/ʃ-/θ- consonants and final -u, -o, or -m elements, with some CVm/CVmV and CVu shapes in both. However, these similarities are distributed among diverse forms, often diverging in details (medials, clusters, length, etc.), and there is little evidence for a tight, recurring shared pattern; common shapes like CVu/mu/kam are typologically common, so the resemblance may be coincidental.",39,80,0
101,grass,2,"Occasional similarities in medial -m, -n, -ŋ and initial k-/g-/ʔ-, but widespread systematic shape matches are lacking.","While both bags feature some forms with similar syllable structures and segments (such as medial or final nasal consonants -m, -n, -ŋ, and occasional initial consonants like k- or g-), these features are relatively common cross-linguistically. There is no consistent or recurring pattern across multiple forms in both bags that would strongly suggest hypothetical cognacy on phonological shape alone.",28,80,0
102,flower,1,none noted,"There is no clear recurring segmental shape shared between the two bags. Bag A heavily features forms with -(ɔ)(:)?k and -(a/ai/j), while Bag B instead has a variety of forms, with a preference for CV-CV shapes and some with -ŋ, -na, -ka endings, but no widespread segmental match. The hypothesis of cognacy based on shape alone is not supported.",21,80,0
103,short,2,"Marginal overlap noted in CVN and CVC nasal-final forms: e.g., 'tan', 'tin', 'san' (bag_a), and 'tanam', 'tana', 'tanaŋ' (bag_b). Some CVC and reduplicative forms also present in both, but broader shape matches are scattered and inconsistent.","While both bags contain several CVC or CVN-shaped words and a few possible nasal-final or -an/-in/-am clusters (such as 'tan', 'tin', 'san' vs 'tanam', 'tana'), these patterns are common cross-linguistically and could easily occur by chance. Most forms do not echo clear systematic correspondences or widespread, specific template matches, so promise for regular cognacy is low, though not entirely absent.",30,80,0
104,salt,2,"Weak similarity in some CV, CVCV, and CVCVC patterns (e.g. kV, tV, sV, ma-, ka-, si-, tV), and clusters with initial k, t, or s are present in both sets; recurring use of initial k-, t-, s-, and n/m- on both sides.","While both bags show a tendency for CV and CVCV structures, with sporadic similar initial consonants (k-, t-, n/m-, s-), there is little evidence of systematic or widespread shape correspondences across multiple items. Most similarities are limited to basic syllable patterns and common segmental templates, which could be accidental. There are some shared cluster types (e.g., kl-, ku-, ka-, ta-, si-, ma-), but these are found in many languages globally and are not enough to strongly suggest hypothetical cognacy on shape alone.",29,80,0
105,seven,2,"Some recurrence of -t/-tu/-to finals and sibilant/affricate onsets in both, but with distinct overall syllable structures and root shapes.","Bag A exhibits a high frequency of forms ending in -t, typically following sibilants, affricates, or palatalized onsets (e.g., ɕat, cet, šɛ:t). Bag B, meanwhile, is dominated by forms of the shape pitu, fitu, or similar, with consistent -tu/-to endings and labial onsets. While there is marginal overlap in terms of final -t/-tu, the onset consonants and vowel patterns differ significantly, and only isolated segmental matches (such as t-word endings) are noted, not widespread shared shapes. Thus, only weak evidence for hypothetical cognacy based strictly on segmental shape.",28,80,0
106,six,2,"Some overlap in CVm, CVn, and CVC nasal-final shapes (e.g., nam, nom, nem, num, nəm, ńaŋ, mjaŋ), but main Tai shapes in bag_a cluster on -k/-kʰ codas which are rare or absent in bag_b, whose main nasal clusters are m/n/mu.","Bag_b forms show a frequent pattern of disyllabic forms with a high frequency of 'n', 'm', and nasal codas (anem, enem, anum, nomu), while bag_a contains some forms with 'nam' and 'ńaŋ' that fit this profile, but most are -ok/-ak/-ɔk/-k codas absent from bag_b. Recurring CVm/nV(C) structure is the only weak overlap; possible distant relationship, but overall shape similarities are limited.",21,80,0
107,ten,3,"Widespread presence of s-/ʃ-/ɕ-/θ- + -ip/-ep/-əp in bag_a, echoed by initial s-/z-/θ- and medial -p/-pl-/-pul(u)-/-pol(o)- sequences in bag_b. Both bags show clusterings around shapes like s/p-l-u, p-u-l, and s-a-m-p-u(l), with some items in bag_b (e.g., 'sapulu', 'sampulo', 'pulò', 'pulu', etc.) repeating the -pul- motif. However, the vowel correspondences and consonant alignments are not always regular, and several unrelated-looking items exist in both sets.","There is a notable recurrence in both bags of s-/ʃ-/ɕ- or z-/θ- onsets paired with syllables ending in -p (bag_a) and in -pul-/pulo-/pul- (bag_b), suggesting a possible broad-shape parallel and some plausible correspondences. However, phonotactic differences and the relatively high variation in structure limit how strong the case is for shape-based hypothetical cognacy; still, the quantity of similar motifs gives moderate promise.",23,80,0
108,eight,2,"Some recurring -pat/-pət/-pet/-pɛt shapes in bag_a and -pat/-pát/-pac/-pat in a minority of bag_b forms, but widespread wa-/va-...lu/o shapes in bag_b have no echo in bag_a.","There is a small cluster of forms in both bags ending in a -pat/-pet-type shape, suggesting some very limited shared phonological material. However, this is not widespread across both sets, as most items in bag_b have forms starting with wa-/va- and ending in -lu/-lo, which are not matched in bag_a. The majority of bag_a forms center on pVt or pVːt skeletons that are only occasionally reflected in bag_b.",21,80,0
109,nine,2,"Some shared initial s- and medial -j/-y/-i- in both bags. Bag A is dominated by k-/c-/kj-/ki- + -au/-ou/-aw forms, while Bag B is dominated by sVw/sia/sio/siV shapes. Recurrence of -au/-aw/-ou in bag A and -iaw/-iow/-iau/siw/siu in bag B could suggest a very distant link, but correspondences are not systematic or robustly recurring across both sets.","While both bags contain some similar sV, sVw, and sVj-like forms, as well as some 'au' and 'aw' type diphthongs, the core shapes in each bag overall are quite different. The main patterns in bag A (k-/c- plus -au/-ou endings) are not replicated systematically in bag B, where sVw/siV/siam/siwa patterns cluster separately. Thus, only weak, inconclusive similarity on shape alone.",22,80,0
110,bad,2,"Some overlap in presence of forms with initial h-/ha- (e.g., 'ha:i.⁴' vs. 'hat', 'hantai'), and recurring a:i/ai or a:V finals in both bags. However, overall segmental patterns and consonant skeletons are mostly quite different. Similarities are limited and do not recur widely.","There are isolated hints of similarity, such as forms with initial h- and final -ai or -at in both bags, but no regularly recurring consonant/vowel skeletons across multiple items. Most forms in each bag do not closely match those in the other, and overall the bags appear segmentally divergent. The limited recurring patterns do not support high confidence for hypothetical cognacy.",28,80,0
111,narrow,2,"Some limited resemblances in CVC and CVp/t (e.g. kap/kɛp/kap - pit/kit/pit); occasional similar shapes like kap/kip/pit/kit and -p/-t codas, but no strong, recurring or systematic patterns across both bags.","A few forms in both sets have CVC shapes with plosive codas (such as -p or -t), and consonant-vowel onsets sometimes echo each other (e.g. kap vs pit/kit). However, overall, the forms in bag_b are much longer, more complex, and heterogeneous in structure than the relatively neat CVC(-C) forms in bag_a. Any resemblance appears limited, likely coincidental, and not broadly systematic.",30,80,0
112,straight,2,"Some overlap in CV(C)Vŋ, CVCV, and repetitive syllable patterns (e.g., toŋ / toŋo / tono / totoŋ), but no clear recurring shape across both bags.","There are a handful of similar phonological shapes, such as toŋ/toŋo/toŋono (tai and oceanic forms), but these resemblances are not widespread or systematic across both bags. Most similar patterns appear to be limited to isolated items or involve generic CV or reduplicated structures, which are common cross-linguistically. Strong regular correspondences are lacking.",22,78,0
113,body,1,"Some isolated CVC(C)-V structures (e.g., 'sen/sɛn', 'to/tino', 'nən/noni'), but overall the segmental patterns and syllable structures differ, and no consistent shape is widely shared across both bags.","Both bags are relatively large, providing opportunities for recurring shared patterns, but there are only sporadic superficial resemblances like CVCV or CVN forms, many of which are common cross-linguistically. Bag A has clusters like 'daŋ', 'to', 'sen', 'tən', while Bag B shows patterns like 'tini', 'noni', 'seni', but the distribution and segmental detail do not suggest systematic or recurrent correspondences.",31,60,0
114,fast,2,"Some overlap in open syllables and /wV/ or /hV/ sequences, with recurring -ai, -au, -u, and -e endings in both bags. Limited similar CVCV or VCV repetitions, but no strong or widespread shared roots.","Both sets contain short forms with diphthongs and labial- or velar-initials (e.g., wa-, ha-, va-), as well as repetitive syllable structures like reduplications. However, the similarity is mostly at the level of broad phonotactics and not in precise recurring roots or segmental skeletons across many forms. There is no clear pattern of widespread cognate-like shapes in both bags.",33,52,0
115,slow,1,none noted,"Both bags contain strings with a variety of phonological shapes, but there are no widespread or recurrent patterns in syllable or segment structure linking the two sets. No clusters of similar forms or consistent consonant or vowel frameworks are observable between these sets.",40,65,0
116,fingernail,1,none noted,"Bag A is dominated by forms containing initial or medial l/j- consonants, and syllables such as 'lip', 'lap', 'ljap', 'mja', while bag B is dominated by forms with 'kuku', 'koho', 'fo', 'ho', 'ao'. No recurring consonant/vowel skeletons or clusters are prominent in both bags. The segmental shapes suggest no clear hypothetical cognacy.",40,22,0
117,few,1,none noted,"Bag A is dominated by forms with s-/ɕ-/θ- onsets and -iau/-iu/-eu/-iou type vowel clusters, which do not recur at all in Bag B. Bag B has a wider variety of initial consonants and syllable structures, including forms with -k-, -t-, -d-, -ka-, -ke-, and no evidence of parallel s/ɕ/θ plus -iu/iau shapes. No strong recurrent segmental shape links are noted.",35,25,0
118,snake,2,"Some overlap in forms containing 'ŋ', 'ma', and CVV patterns; limited recurring consonant-vowel skeletons across both bags, occasional 'ŋ' and 'm' clusters, and some similarity in forms like 'mwa/mʷa' but no clear widespread congruent shapes.","A few segmental elements ('ŋ', 'ma', CVV, and 'mwa-/mʷa-' sequences) appear sporadically in both bags, but overall, the shapes and consonant-vowel skeletons do not show strong, consistent correspondences. Potential cognacy is possible in isolated forms, but widespread, systematic recurrence is lacking.",16,80,0
119,forest,1,none noted,Both bags have diverse phonological shapes with little overlap in consonant-vowel skeletons or recurring patterns. No clear segmental similarities or repeated forms suggestive of hypothetical cognacy are apparent across multiple items; most forms are quite distinct in structure.,30,80,0
120,wife,2,"Some overlap in open syllables like ma-, mi-, wa-, and presence of CVn/CVk forms, but overall segmental structures differ and most recurring roots (e.g., mai/mi, wa, bin) are not widely paralleled across both bags.","While a few phonological shapes such as 'ma-', 'mi-', and 'wa-' appear in both bags, these are basic and could easily arise independently. The rest of the material shows little systematic correspondence or recurring roots between bags. There is no strong evidence for widespread shared shape or systematic correspondences just from the strings given.",34,80,0
121,husband,2,"Some recurrence of 'ai', 'a', 'wa', 'man', 'ka' shapes in both bags, but overall correspondences are weak, and shared forms appear isolated or result from common vowel/consonant patterns rather than widespread sound correspondences.","Both bags show forms with similar syllabic shapes like 'ai', 'wa', and 'man', and some multi-syllabic patterns beginning with 'ka-' or containing 'a' and 'u' vowels. However, these similarities are isolated, appear mostly in short forms, and lack systematic segmental correspondences across the sets. The overall diversity and lack of recurring shared structure make hypothetical cognacy only weakly supported.",34,80,0
122,intestines,2,"Some recurring 'sai/saj', 'tai/tina', and 'ai/ai' shapes in both bags.","Bag A contains a high density of forms with the structure 'sai/saj', 'tai', 'ai', and similar CVV(VC) shapes, while Bag B shows recurrent forms like 'tinai', 'tina', 'tinaqi', 'tinâi', and 'tnaʔi', indicating possible general similarity in syllable structure and some overlap, especially with the repeated 'ai' and 'tina' patterns. However, the similarities are largely limited to a handful of shapes and do not show consistent, widespread segmental matches across the majority of both bags. Thus, hypothetical shape-based cognacy is weak but not absent.",29,80,0
123,steal,2,"Some recurring shapes in both sets with initial k-, m-, l-, and medial/final -k/-kaw, -n-, -m-, but no robust wide clustering; isolated items with 'lak', 'nak', and 'kaw' across both.","There are a few phonological overlaps, such as the frequent occurrence of -k, and initial l-, m-, and k-/g- in both bags. Both sets show forms ending in -ak or -kaw, and some with medial -n-, but these are relatively common segmental patterns. No strong, systematic recurring patterns are found across multiple items in both sets, suggesting at best weak possible hypothetical cognacy on shape alone.",24,80,0
124,shoulder,4,"Repeated CV-VCV/CV(V)/CVC shapes with b/p/v/w (labials) and a-like vowels in both bags; simple initial+a+labial structures (e.g. ba, pa, wa, va) recur widely; sequences like 'ba', 'va', 'pa' ~ 'ʔba', 'ho/ha', and 'ma' appear across both sets.","Both bags exhibit frequent use of simple CV and CVC syllable structures featuring labial consonants (b, p, v, w) paired with low vowels (a), as well as clusters and sequences like 'ba', 'pa', and 'va/wa'. Such shapes recur independently in multiple items in both bags, increasing the plausibility for hypothetical cognacy. However, a full match of complex or longer forms across the bags is less obvious, thus a 4 is warranted.",23,80,0
125,buy,1,none noted,"Bag A is heavily dominated by monosyllabic or simple disyllabic forms often with -ai/-əi/-ɨi/-au rimes and s/t/ʔ/ɕ/tɕ onsets; Bag B is overwhelmingly polysyllabic, with much more varied syllable structure and no obvious recurring match for Bag A's shapes. No recurring segmental skeletons or correspondences stand out as widely shared in both sets.",25,80,0
126,open,1,none noted,"Bag A displays a high frequency of forms like hai/hoi/kai with diphthongs or long vowels, whereas Bag B features a wide variety of syllable shapes, often CVCV, CVCVC, and many with 'bukas/bukat/boka' but no close matches to A's patterns. There are no obvious recurring segmental shapes or skeletons present in both bags, so hypothetical cognacy on raw shape is not promising.",31,80,0
127,fog,2,"Marginal overlap: Some 'muk/mok/mɔk/mo:k' (bag_a) vs. 'mok/hamog/mos/mowap' (bag_b); a few items with 'lap/lapolopo' and 'lep' in both, and scattered 'mun/mon' vs. 'lemdem/təlum' as possible distant echoes. However, recurring shapes are not robust or systematic.","There is limited evidence for widespread similar segmental shapes across both bags. A few superficial resemblances exist—primarily in CVk and labial-initial forms—but these are isolated and do not appear as recurrent patterns between the two sets. Overall, the forms in each bag display mostly distinct phonological profiles.",31,80,0
128,choose,2,"Some isolated similarities in CV:li/CV:ni and CVC clusters (e.g., 'la:i', 'pili', 'lɨ:k', 'pilik'), but no recurrent or systematic shape matches across both bags.","Most forms in bag_a center around liquids ('l', 'r'), nasal finals, and mid vowels, forming patterns like CVC, CV:C, and clusters with 'l' or 'n'. Bag_b contains highly variable structures, but has some forms like 'pili', 'pilian', and 'pilik' that superficially resemble bag_a's 'lɨk', 'la:i', or 'lik'. However, these similarities are sparse, not widespread, and appear accidental rather than systematic. There is no strong evidence for widespread, recurring shared structures.",34,80,0
129,hundred,1,none noted,"Bag A shows a strong recurrence of monosyllabic or disyllabic CVC or CV:C patterns, especially forms containing p/k and ɛ/a vowels, such as 'pa:k', 'pek', 'peːk', and 'pɛk', while Bag B predominantly contains longer, multi-syllable forms without clear repeated phonological skeletons matching Bag A. There are no widespread or recurring segmental shapes that can be plausibly aligned across both bags.",22,80,0
130,leg,1,none noted,"There are no clear recurring segmental shapes or syllable patterns that appear widely in both bags. Bag A has many monosyllabic or bisyllabic forms with initial stops and nasals (p-, t-, k-, m-, n-, q-, kh-, etc.), while Bag B largely contains longer, complex forms with recurring sequences (-na, -tsy, -ae), but nothing matches patterns in Bag A. No promising sound correspondences or widespread shape similarities are visible.",18,72,0
131,sing,1,none noted,"There are no clear recurring segmental patterns, syllable structures, or consonant/vowel skeletons shared widely across both bags. The forms in bag_a are heavily characterized by palatal affricates/fricatives and nasal codas (e.g., -ŋ), while bag_b shows mostly CV and CVCV patterns with different segmental inventories. No promising shape correspondences are observed.",36,53,0
132,wash,2,"Isolated syllable overlaps like 'sai~sau', 'pai~puai', 'fai~faiu', and several s-initials, but no broad patterns recur widely across both bags.","Both bags show some use of open syllables and CV or CVC structures, with a few surface similarities (e.g., initial 's', 'f', or 'p' with a/i/u vowels). However, most similarities are isolated and coincidental, and the majority of shapes in each bag do not align with those in the other. There is no strong evidence of recurring, systematic segmental patterns suggesting widespread hypothetical cognacy.",33,73,0
133,pull,1,none noted,"There are no clear recurring phonological shapes or consonant-vowel skeletons that occur widely in both bags. Bag A is characterized by monosyllables and disyllables with a high frequency of final nasals (ŋ, n) and stops (k), while Bag B contains longer, mostly polysyllabic forms with very different syllable structures and segmental inventories. No promising patterns for hypothetical cognacy are apparent.",31,78,0
134,pig,2,"Marginal overlap in vocalic nucleus u/o and labial (m/b/p) onset in some forms, but frequent syllable patterns and segmental alignments are not consistent across both bags.","Bag A has many forms with an initial m- and a rounded vowel (mu, mou, mau), while Bag B frequently shows b/p/m with -o/u, but the overall shapes diverge: Bag B has many CVCV and CVCCV, while Bag A tends towards CVV or syllabic finals. Only a weak resemblance in labial+rounded vowel syllables is observed and not widespread enough for a high cognacy score.",15,65,0
135,cave,1,none noted,"The word shapes in bag_a commonly include nasal codas and syllabic structures like CVC, CVVC, or multisyllabic forms with frequent use of 'am', 'a:m', 'ŋa:m', and similar patterns. Bag_b primarily consists of longer, often reduplicated or complex polysyllabic forms (e.g. 'lava-bàto', 'βaβae', 'faluma', 'mbəɾaŋ'), and does not display recurring segmental shapes matching those in bag_a. No widespread recurring phonological skeletons are apparent across both sets.",23,72,0
136,sugarcane,2,"Both bags contain a high number of forms with initial vowels followed by /u/ or /i/ glides (e.g., 'ʔoi', 'o:i', 'ohu', 'ofu'). Additionally, several forms in each bag feature sequences resembling /pV.../, /nV.../, or /kV.../, but these are isolated and do not pervade both lists.","While there are some superficial phonological overlaps such as monosyllabic and disyllabic forms with back vowels and certain initial consonants (ʔ/o/u in bag_a and o/u/p/f in bag_b), the correspondences are too scattered, and there are no pervasive, recurring consonant-vowel skeletons across both sets. Most apparent similarities (like 'ʔoi' ~ 'ohu') are vague and not robust enough for a high score.",28,44,0
137,morning,1,none noted,"The forms in bag_a and bag_b show little overlap in phonological shape. Bag_a contains frequent monosyllabic and disyllabic forms with CVC or CV:C shapes (e.g., 'hɐt', 'sət', 'kaŋ'), while bag_b is dominated by longer, often reduplicated forms (e.g., 'fufuɣɔ', 'vuvuɣei', 'sarəsarəkə') and polysyllabic structures with frequent nasal and liquid consonants. No plausibly systematic or widely recurring segmental parallels are detected between the two bags.",40,74,0
138,beard,2,"Some mVm, mum, and nu/nju/nut in bag_a correspond loosely to mu/mi, vumi/vomi, and umi/humi/ɣumi in bag_b, but these forms are isolated and general. A few kV/kʰV/kaku in both, but overall rare direct segmental matches.","Both bags show some forms with m-vowel-m (e.g., mɨm, mʊm, mom, mi.ći in bag_a and vumi, vomi, umi, humi in bag_b) and a few forms with nu/nju/nut (bag_a) and num, nu (bag_b), but such shapes are generic and occur in many languages. Some partial overlap in consonant-vowel skeletons, but widespread recurring distinctive shapes across both bags are not evident.",29,64,0
139,chicken,2,"Some recurrence of initial k-/kai-/ka- in both bags; bag_b shows abundant kV(kV…) shapes, but bag_a is much shorter and does not show complex reduplication.","While both bags feature initial k- or similar stops, and some sequences like kai/karai/kua appear in both, the forms in bag_b are much longer, have reduplicated structures, and overall segmental structure is not sufficiently close. There is some surface similarity in onsets and vowels, but little evidence of widespread shared skeletons across both bags.",17,34,0
140,tomorrow,1,none noted,"There are no clearly recurring consonant-vowel skeletons or segmental patterns that appear widely and systematically in both bags. While a few forms show surface similarities (e.g., presence of labial-initial syllables or nasal clusters), these are sporadic and not indicative of a broader shape correspondence between the sets.",40,70,0
141,tired,1,none noted,"There are no clear or recurring consonant-vowel patterns, syllable structures, or segmental skeletons that appear widely in both bags. The overall phonological shapes are divergent and no plausible consistent correspondences are apparent across several items in both sets.",28,60,0
142,village,2,"Some surface similarity between forms like 'ban', 'vaːn', and 'vanua' but no widespread, recurrent shapes in both bags; most forms have differing structure.","Bag A displays a strong recurrence of C(V)ːn shapes like 'baːn', 'maːn', 'vaːn', and their variants, while Bag B shows variety but lacks a clear, repeated CVC or CVːn root matching Bag A. The only partial overlap is a vague resemblance between forms like 'ban', 'vanua', and 'panu', but these are isolated and surrounded by much more variation. Overall, hypothetical cognacy appears weak based on shape.",24,64,0
143,love,2,"Some overlap in forms with 'ma', 'ŋa', 'ai', and CVma-type shapes; generally little systematic similarity in broader patterns.","A few forms in both bags contain sequences like 'ma', 'ŋa', and 'ai' (e.g., 'ma:i.²⁴', 'maŋ⁴', 'maːi³³', 'ŋaːi⁴⁵', 'ma!ine', 'maŋa!o', 'kima'), but these are short and could easily arise by chance. Most forms otherwise show little recurring structural resemblance, and segmental patterns differ widely overall.",32,66,0
144,mother,4,"Widespread recurring nV, nai/nei, na/nia, me/mi, and ma~na patterns across both bags.","Both bags show a high density of forms with nV, nai/nei, na/nia, and similar syllabic patterns. Regular repetition of -na, -ne, mi, me, ma, and ni elements on both sides is promising for hypothetical cognacy based on phonological shape alone, though some segments are less similar (e.g., bubuʔ, soɣo). The similarities are particularly broad and systematic, making potential cognacy plausible, though variation in vowels and affixes prevents a top score.",16,80,0
145,father,2,"Isolated resemblance of pa/pɔ/pha in bag_a with pa, papa, bapa in bag_b; some sporadic mama/ama forms in bag_b with very little echo in bag_a.","There are clusters of forms involving pa/pɔ/pha in bag_a and some pa/papa, bapa, opa forms in bag_b, but these are not widespread nor consistently matched. The numerous reduplicated or m-m-initial forms (mama, ama, etc.) dominating bag_b have no clear, frequent counterparts in bag_a. Recurring shape correspondences are limited and appear sporadic rather than systematic.",16,80,0
146,sew,2,"Some potential short CVC/CV(C) shapes (e.g., nip ~ sip ~ tip ~ jip) and -p codas in bag_a, with occasional similar forms in bag_b (e.g., sip, sapsip), but overall shape similarity is scarce and not widespread across both sets. Both lists show some -is/i, -it, -ip, -is endings, and initial nasal clusters, but these are not consistently distributed.","Most of the forms in bag_a center around short, simple CVC or CVCVC shapes featuring -ip/ep/p codas and occasional nasal initials, which surface sporadically in bag_b (sip, sapsip), but the majority of bag_b is polysyllabic with differing structures and little recurrent similarity. There are isolated possible shape overlaps, but little strong or systematic segmental recurrence across both bags.",28,80,0
147,climb,2,"Some superficial similarity in CVN patterns, occasional bilabial or nasal-initial syllables (e.g., forms with ma-, pa-, pi-, pu-, mu-, mi-); both bags have bisyllabic or polysyllabic forms; no widely recurring segmental skeletons across both sets.","Both sets show a wide diversity of forms with various syllable patterns, but recurring roots or shapes (like pin-/pɪn-, pan-, ma-, ka-) that are abundant in bag_a are not systematically matched by similar forms in bag_b. There are isolated similarities like the presence of forms beginning with p/m/k/n and the use of -n/-m endings, but these are generic and not concentrated in both bags. There is no convincing pattern of shared, repeated skeletons to suggest promising hypothetical cognacy.",33,80,0
148,weinclusive,2,"Some forms in both bags show possible similarities in CV-CV or CVV syllable patterns (e.g., 'tau', 'taːu', 'tatou', 'tatoɾu'), and nasality or /n d t/ clusters recur. However, overall consonant-vowel makeup and clustering patterns are not strongly matched, and recurring segmental skeletons are limited.","There are isolated shared elements in syllable structure and recurring consonants (particularly t/d/n), as well as some similar-sounding forms involving tau/tatou. However, most forms cluster differently, and major correspondences or systematic shared shapes are sparse. A faint possibility exists, but the evidence is weak.",39,80,0
149,olderbrother,1,none noted,"There is no notable recurring segmental pattern or skeleton shared widely across both bags. The forms in bag_a often show repeated CV:C or CVCV structures with frequent 'ai' diphthongs and /p, t, k, f/ and affricates, which are not mirrored by any widespread similar patterns in bag_b. Bag_b displays a broader mix of CV, CVCV, CVCCV, and polysyllabic forms with few if any consistent correspondences to bag_a's shapes.",26,80,0
150,snow,1,none noted,"There are no clearly recurring segmental shapes or consonant-vowel skeletons that appear widely in both bags. While there are some nasal-initial or 'n'-containing forms in bag_a and bag_b, these are common elements and do not establish promising cross-bag correspondences. Overall, each bag has distinct phonological patterns and no significant overlap.",27,30,0
151,hear,1,none noted,"There are no clear, widespread recurring phonological shapes in both bags. While both sets show some internally repeating patterns (e.g., frequent 'ŋ' or nasal-final forms in bag_b, and certain syllable-structures in bag_a), these do not align across the two bags. No plausible shared skeletons or correspondences are found.",40,80,0
152,smokeexhaust,2,"Some superficial similarities in CVCV, CVCVC, or VCVN strings (e.g., 'wan', 'kwan', 'hɔn', 'aso', 'kahu', 'polo'), and a few repeated syllable structures involving labial and velar elements. However, there are no widespread, distinctive, recurring segmental shapes across both bags.","The forms in both bags occasionally share generic syllable structures (such as -an, -wan, -on, -asu, CVC or CVCV), but the repeating shapes within each bag (e.g., 'kwan', 'fai', 'wan' in bag_a; 'asu', 'so', 'bol' in bag_b) do not cross over between the bags. No clear pattern of segmental correspondences or repeated forms spans both bags, making robust hypothetical cognacy unlikely on form alone.",30,80,0
153,stand,1,none noted,"Bag A shows strong convergence on CVn-type syllables with frequent use of medial or final n, ŋ, or nasal clusters (e.g., in, ən, ɨn, u:n, ŋ). Bag B, by contrast, exhibits much more varied and complex forms, with less recurring use of these shapes or segments. No significant patterns of segmental similarity recur across multiple items in both bags, and there is no clear shared phonological skeleton in evidence.",31,80,0
154,butterfly,1,none noted,"Bag A is dominated by forms with 'ba', 'ma', 'pa', or similar forms, often with nasal or plosive onsets and sometimes complex onsets or clusters. Bag B has many repetitious and reduplicated forms, especially of the shape 'pepe', 'lele', 'tata', and includes forms like 'mbə', 'mbœ', but overall the segmental structure and syllable patterns are quite different in both bags, and there are no evident recurring sequences that suggest promising hypothetical cognacy beyond chance resemblance.",33,31,0
155,woman,1,none noted,"There are no clear recurring segmental similarities or skeletons across multiple items in both bags. The shapes in bag_a (commonly with forms like -ŋ, -k, ph-, m-, t-, etc.) do not match the widespread and often polysyllabic CV-shaped forms with heavy use of -v-, -n-, -h-, and -ne in bag_b. Isolated coincidental resemblances (e.g., occasional m-, n-, or k-) are not systematic or widespread enough to suggest hypothetical cognacy.",40,80,0
