comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
060,knowsomething,2,"Weak overlap: occasional CVu/aŋ- and CVu- forms, loose similarity in nasal final and liquid onset items, but no robust, widespread recurring shapes across both bags.","Bag A exhibits several forms with k/h/j- initial plus -au/-u/-o vowels, and bag B has diverse forms, some featuring CVu and nasal finals (e.g. kona, peleŋ, loŋ), but these are not strong or consistent matches. Overall, the diversity and lack of structured recurring shapes across both sets suggest only weak hypothetical cognacy on shape alone.",24,80,0
061,ash,2,"Some overlap in sequences with bilabial+vowel (pu, bu, vu, abu, avu, vu) and low front/back vowels. Bag A has many forms with -aw/-au, -uk/-up, or -u finals, while Bag B has many with -bu, -vu, -fu, and -bo, though correspondences are not consistent and overlap is partial. There is no widely recurring multisyllabic or consonantal shape shared.","Both bags present frequent VCV shapes with labial onsets and nuclei such as 'vu', 'bu', 'pu', 'au', and -u endings, suggesting a basic phonotactic affinity. However, deeper shared templates or widespread systematic correspondences across longer forms are limited. The similarity appears to be mainly in simple syllables and frequent use of labial+vowel roots, which may or may not be significant for hypothetical cognacy.",33,80,0
062,rainprecipitation,1,none noted,"Bag A strongly features forms with -Vn or -Vn̪ finals and initial labials or glides (fun, fen, wun, etc.), often with short CVC shapes. Bag B, in contrast, shows a predominance of more complex and variable forms with many containing medial liquids or -al/-an/-am/-ar/-as endings, and more polysyllabic structures. There is little overlap in segmental patterns or strong recurring phonological skeletons to suggest hypothetical cognacy.",37,80,0
063,rope,2,"Some overlap in initial and medial 'la', 'sa', 'ka', 'ta', and final 'k'/'ʔ'/'s'. A handful of forms show possible similarity in shapes like 'sa:k' vs 'sa'ís'/'sulók', 'la:k' vs 'laetse', and recurrent 'wa', 'ka', 'ta' onsets in both sets, but correspondences are sporadic and not robust.","While there are scattered phonological similarities in initial and medial syllable shapes (like 'sa:k' vs 'sa'ís', or 'la:k' vs 'laetse'), and both bags show a tendency for CV(C)C forms and some overlap in common syllables and finals, these matches are inconsistent and usually appear only once or twice. There is no systematic or widespread pattern of recurring, tightly matching forms across both bags, making hypothetical cognacy on phonological shape alone unconvincing but not impossible.",31,80,0
064,wind,1,none noted,"Bag A overwhelmingly features forms with a CVm or CVm(V) structure, many starting with l-, ð-, j-, or similar approximants, and an -m coda. Bag B lacks this pattern almost entirely, instead exhibiting a wide variety of phonological shapes and consonant/vowel combinations, with frequent final vowels and much longer forms. No clear recurring shape or correspondence is widespread in both bags.",29,80,0
065,laugh,1,none noted,"The segmental shapes in bag_a and bag_b differ substantially. Bag_a is dominated by forms with diphthongs, high front/back rounded vowels, and numerous syllabic nuclei of the shape VCV, whereas bag_b contains predominantly polysyllabic forms with nasals, more complex clusters, and few phonetically transparent similarities. No recurring consonant-vowel skeletons or widespread parallel shapes are observed across the two bags.",32,80,0
066,wing,3,"Both bags show recurrent initial p-, pa-, or pi- shapes, and frequent occurrence of k, t, and v/f-initial forms; some forms in both also have CVC or CViC structures, and reduplication appears in both sets.","There are repeated pV(C) shapes in both bags (e.g., 'pa', 'pik', 'pak', 'pan', 'pali'), and frequent occurrence of medial k/t and labial or velar consonants. Vowel patterns show some overlap, and both bags also exhibit reduplicated and longer forms combining these elements, which raises the possibility of shared origins in segmental structure. However, differences in some segmental details and the wide overall variation lower the score below a strong match.",21,80,0
067,thick,1,none noted,"Bag A is dominated by simple nasal-initial forms like 'na', 'nua', and similar CVC or CV structures, while Bag B contains much longer and more complex forms with considerable variation and no recurring segments or syllable skeletons that match those in Bag A. There is no evident or recurring phonological pattern shared between both sets.",9,80,0
068,three,1,none noted,"Bag A showcases a strong and consistent shape with forms centered around s/h/f/θ + (a)ːm, recurring across many items and subgroups. Bag B, in contrast, predominantly features forms based around t-l/t-r/t-n/t-ɭ and related sequences with prominent vowel alternations (o, u), but lacks the 'am' or similar rhyme that is central in Bag A. No clear recurring segmental pattern links the two bags, and any matches (such as initial 't') are minimal and unconvincing given the overall shape divergence.",20,80,0
069,four,2,"Some overlap in syllabic forms with /pV/ or /pa/; a few items in both bags have /pV, pu, pau, pai/ (bag A) and /pat, paat, pai, pal, pau/ (bag B), but no widespread or strongly recurring clusters.","Bag B has a heavy concentration of CVC shapes with 'pat/patj/pai', which is rarely matched in bag A; bag A contains mainly sV, θV, and si/fei shapes, with only a handful of 'pau' or 'pu' items. Only a slight and isolated resemblance (mainly in 'pau'/'pu' vs 'pat'/‘pai’), but overall, the majority of forms between the two bags differ sharply in their segmental skeletons. There is minimal evidence of broadly recurring shared shapes.",15,80,0
070,vomit,2,"Both bags show clusters of forms with the sequences (C)u/k/(a)k and (C)ut(a), and a number of items in bag_b contain sequences like 'muta', 'uta', 'ota', 'suka', which have some surface similarity to bag_a's many forms ending in -k or -ak/-ɔk. However, systematic correspondences or a strong recurring match across both bags is not clear.","Some forms in bag_a with -uak/-uək/-ɔk/-ak endings resemble elements in bag_b like 'uta', 'ota', and 'suka.' Occasional similar initial consonants (e.g. juək ~ suka/ʔuta) are seen, but correspondences are inconsistent and many forms diverge. The few similarities are scattered and do not demonstrate a widespread or systematic phonological link.",36,80,0
071,left,2,"Some forms in both bags show recurrent CV(V)(C)V patterns and presence of -wi-, -iri-, -ai-, and -ma- elements, but detailed segmental matches are weak and no clear, widely recurring shapes are found in both sets.","While both bags favor polysyllabic CV structures and there are a few non-identical lookalikes featuring segments like -wi-, -ma-, or -ai-/ -i-, there are no convincing, widespread patterns of stem similarity or correspondences extending across more than isolated items. Thus, the comparison is only weakly promising for hypothetical cognacy on phonological shape.",33,80,0
072,wet,1,none noted,"There are no clear, recurrent segmental patterns present across both bags. While some forms in both bags share general CV or CVC structures, and there are a few superficial similar sequences like 'mak', 'mai', or final -m/-k, these are isolated and not systematic. The overall phonological shapes between the two sets are highly distinct, with no widespread or repeated resemblance suggestive of hypothetical cognacy.",33,80,0
073,daynotnight,2,"Some superficial similarities in CVN and (C)V-an forms; both bags feature items with n-final syllables, occasional presence of 'an', 'wan', 'van', and a few CVC or CVNC forms, but these patterns are globally common. No strong recurring specific skeleton matches across bags.","Although both sets contain plentiful n-final shapes like 'van', 'wan', 'an', and a small number of shared segmental elements (such as v/w/an/wan/nan), these are all typologically frequent CVN forms. More complex forms and internal compound structure diverge greatly, and no distinctive shared shape stands out as recurring in both groups, giving only weak support for hypothetical cognacy.",39,80,0
074,right,2,"Some resemblance in initial labial segments (pa-, ma-, wa-/va-) and possible wa-/wan-/van- sequences appear in both bags but with little consistent matching. Occasional CV patterns recur but not with regular correspondences or systematic sound matches.","A few forms in both bags feature initial labials (p/m/w) and some 'wan/van' or 'ma-' type sequences, but these similarities are broad and not clearly recurrent in a systematic or widespread way across both lists. The segmental patterns overall show little consistent overlap, and most forms in each set are divergent from their counterparts in the other. The few matches could be coincidental or due to common phonotactic patterns.",20,80,0
075,sky,1,none noted,"Bag A features widespread forms with initial ʔbVn, bVn, or pVn patterns, as well as some fa/pha and ka:ŋ items, while Bag B is dominated by forms with -ŋit/-ŋi, laŋ-, lanit, langit, as well as various other CVCV or CVCVCV words; there is no evident segmental overlap or recurring pattern between the two bags. The shapes appear unrelated.",37,80,0
076,five,1,none noted,"The forms in bag_a are generally monosyllabic with forms like 'mei', 'mau', 'ha:', 'haa', and 'hâa', while bag_b forms overwhelmingly show recurring polysyllabic shapes dominated by CVCV skeletons, especially 'lima', 'rima', 'rimo', etc. There is no evident shared root or widespread recurring consonant-vowel structure across both bags, so hypothetical cognacy based on form alone appears highly unlikely.",5,80,0
077,where,2,"Some recurring elements like initial 'n', 'ka/ke', 'na', 'ta/te', and open/close syllables (VCV/CVCV) in both bags; a few resemblances between forms with nasal and stop-initial syllables, but widespread, strong, or systematic similarities are lacking.","While both bags show frequent forms containing nasal or stop-initial CV syllables (such as 'na', 'ka', 'ta', 'te', etc.) and some forms with similar open/closed structures, this is common in many languages and does not form a strong pattern. There are a few accidental lookalikes (e.g., 'nai', 'na', 'ka', 'tei', 'nau', 'no'), but no convincing, deeply recurrent shapes or clear systematic correspondences between the two bags.",40,80,0
078,heavy,2,"Some nasal-initial forms and -n/-ŋ codas seen in both, but patterns are inconsistent and not widespread across both bags.","While both bags contain several forms with nasal stops (e.g. 'nak', 'naŋ', 'han', 'hi.⁴²_haŋ.⁴²' in bag_a, 'nadammat', 'nadammát', 'mbajakɔ', 'pataŋa' in bag_b) and some final velar nasals/k (e.g. 'nak', 'taŋ', 'naŋ', 'khɨn' in bag_a, 'pataŋa', 'sadəLuŋ' in bag_b), these similarities are scattered and occur in divergent environments. The overall phonological patterns differ considerably and there are no robust recurring shared skeletons across both bags to suggest widespread hypothetical cognacy.",18,80,0
079,cry,2,"Some similar CVCV or CVCVC patterns and recurring segments like ""-ai"" and ""ŋ"" in both bags, but correspondences are inconsistent and overlap is weak.","While both bags show forms with sequences like ""ai,"" ""ŋ,"" and CVCV structures, the overall segmental similarities are limited and often appear coincidental. There is little consistent or widespread matching of segment skeletons across multiple items in both bags, reducing the promise for hypothetical cognacy.",19,80,0
080,sharp,1,none noted,"Bag A has a predominance of short, often monosyllabic forms featuring high front vowels (i/ɪ/e), diphthongs with -i or -ai, and onset clusters or palatal/velar initials, while Bag B is dominated by longer, polysyllabic structures with frequent initial 'ma-' and variable CV patterns. There are no clearly recurring shared consonant/vowel skeletons or segmental patterns that appear across multiple items in both bags, nor do any shapes suggest plausible widespread correspondences.",36,80,0
081,near,1,none noted,"The forms in bag_a are overwhelmingly monosyllabic or sesquisyllabic with frequent CV(V) or CCV(V) shapes, common use of palatal(ized) initials (kj-, cj-, kl-, etc.), and diphthongs or complex nuclei. In contrast, bag_b forms are predominantly longer, with multi-syllabic or reduplicated shapes and a different phonotactic profile. No recurring skeletons or plausible systematic segment correspondences are observed across both bags.",34,80,0
082,they,1,none noted,"There are minimal to no recurring phonological shapes or patterns that appear across both sets. While both bags contain forms with a variety of syllable structures and some superficial similarities (e.g., syllables like 'man', 'ra', 'te', 'si', etc.), these are scattered and not repeated widely or systematically across both sets. The overall phonological inventories and structure appear quite distinct, giving little evidence for hypothetical cognacy based on shape alone.",40,80,0
083,year,1,none noted,"Bag A has a strong concentration of forms centered on pV(i/e) and nVn or mV structures, with frequent short and simple syllabic structures. Bag B is much more diverse, with minimal recurrence of these shapes and no consistent segmental patterns linking both sets. No promising or recurrent segmental similarities are found across both bags.",22,80,0
084,you,2,"Some recurrence of initial k-/g-/ŋg- + a/u or a/o/u finals, and a few CVm/CVn/CVmV structures. Both bags contain forms ending with -u/-o or incorporating -m-, but no strong widespread shared templates or clusters.","Both bags exhibit a number of forms with initial k-/g-/ŋg- or s-/ʃ-/θ- consonants and final -u, -o, or -m elements, with some CVm/CVmV and CVu shapes in both. However, these similarities are distributed among diverse forms, often diverging in details (medials, clusters, length, etc.), and there is little evidence for a tight, recurring shared pattern; common shapes like CVu/mu/kam are typologically common, so the resemblance may be coincidental.",39,80,0
085,grass,2,"Occasional similarities in medial -m, -n, -ŋ and initial k-/g-/ʔ-, but widespread systematic shape matches are lacking.","While both bags feature some forms with similar syllable structures and segments (such as medial or final nasal consonants -m, -n, -ŋ, and occasional initial consonants like k- or g-), these features are relatively common cross-linguistically. There is no consistent or recurring pattern across multiple forms in both bags that would strongly suggest hypothetical cognacy on phonological shape alone.",28,80,0
086,flower,1,none noted,"There is no clear recurring segmental shape shared between the two bags. Bag A heavily features forms with -(ɔ)(:)?k and -(a/ai/j), while Bag B instead has a variety of forms, with a preference for CV-CV shapes and some with -ŋ, -na, -ka endings, but no widespread segmental match. The hypothesis of cognacy based on shape alone is not supported.",21,80,0
087,short,2,"Marginal overlap noted in CVN and CVC nasal-final forms: e.g., 'tan', 'tin', 'san' (bag_a), and 'tanam', 'tana', 'tanaŋ' (bag_b). Some CVC and reduplicative forms also present in both, but broader shape matches are scattered and inconsistent.","While both bags contain several CVC or CVN-shaped words and a few possible nasal-final or -an/-in/-am clusters (such as 'tan', 'tin', 'san' vs 'tanam', 'tana'), these patterns are common cross-linguistically and could easily occur by chance. Most forms do not echo clear systematic correspondences or widespread, specific template matches, so promise for regular cognacy is low, though not entirely absent.",30,80,0
088,salt,2,"Weak similarity in some CV, CVCV, and CVCVC patterns (e.g. kV, tV, sV, ma-, ka-, si-, tV), and clusters with initial k, t, or s are present in both sets; recurring use of initial k-, t-, s-, and n/m- on both sides.","While both bags show a tendency for CV and CVCV structures, with sporadic similar initial consonants (k-, t-, n/m-, s-), there is little evidence of systematic or widespread shape correspondences across multiple items. Most similarities are limited to basic syllable patterns and common segmental templates, which could be accidental. There are some shared cluster types (e.g., kl-, ku-, ka-, ta-, si-, ma-), but these are found in many languages globally and are not enough to strongly suggest hypothetical cognacy on shape alone.",29,80,0
089,seven,2,"Some recurrence of -t/-tu/-to finals and sibilant/affricate onsets in both, but with distinct overall syllable structures and root shapes.","Bag A exhibits a high frequency of forms ending in -t, typically following sibilants, affricates, or palatalized onsets (e.g., ɕat, cet, šɛ:t). Bag B, meanwhile, is dominated by forms of the shape pitu, fitu, or similar, with consistent -tu/-to endings and labial onsets. While there is marginal overlap in terms of final -t/-tu, the onset consonants and vowel patterns differ significantly, and only isolated segmental matches (such as t-word endings) are noted, not widespread shared shapes. Thus, only weak evidence for hypothetical cognacy based strictly on segmental shape.",28,80,0
090,six,2,"Some overlap in CVm, CVn, and CVC nasal-final shapes (e.g., nam, nom, nem, num, nəm, ńaŋ, mjaŋ), but main Tai shapes in bag_a cluster on -k/-kʰ codas which are rare or absent in bag_b, whose main nasal clusters are m/n/mu.","Bag_b forms show a frequent pattern of disyllabic forms with a high frequency of 'n', 'm', and nasal codas (anem, enem, anum, nomu), while bag_a contains some forms with 'nam' and 'ńaŋ' that fit this profile, but most are -ok/-ak/-ɔk/-k codas absent from bag_b. Recurring CVm/nV(C) structure is the only weak overlap; possible distant relationship, but overall shape similarities are limited.",21,80,0
091,ten,3,"Widespread presence of s-/ʃ-/ɕ-/θ- + -ip/-ep/-əp in bag_a, echoed by initial s-/z-/θ- and medial -p/-pl-/-pul(u)-/-pol(o)- sequences in bag_b. Both bags show clusterings around shapes like s/p-l-u, p-u-l, and s-a-m-p-u(l), with some items in bag_b (e.g., 'sapulu', 'sampulo', 'pulò', 'pulu', etc.) repeating the -pul- motif. However, the vowel correspondences and consonant alignments are not always regular, and several unrelated-looking items exist in both sets.","There is a notable recurrence in both bags of s-/ʃ-/ɕ- or z-/θ- onsets paired with syllables ending in -p (bag_a) and in -pul-/pulo-/pul- (bag_b), suggesting a possible broad-shape parallel and some plausible correspondences. However, phonotactic differences and the relatively high variation in structure limit how strong the case is for shape-based hypothetical cognacy; still, the quantity of similar motifs gives moderate promise.",23,80,0
092,eight,2,"Some recurring -pat/-pət/-pet/-pɛt shapes in bag_a and -pat/-pát/-pac/-pat in a minority of bag_b forms, but widespread wa-/va-...lu/o shapes in bag_b have no echo in bag_a.","There is a small cluster of forms in both bags ending in a -pat/-pet-type shape, suggesting some very limited shared phonological material. However, this is not widespread across both sets, as most items in bag_b have forms starting with wa-/va- and ending in -lu/-lo, which are not matched in bag_a. The majority of bag_a forms center on pVt or pVːt skeletons that are only occasionally reflected in bag_b.",21,80,0
093,nine,2,"Some shared initial s- and medial -j/-y/-i- in both bags. Bag A is dominated by k-/c-/kj-/ki- + -au/-ou/-aw forms, while Bag B is dominated by sVw/sia/sio/siV shapes. Recurrence of -au/-aw/-ou in bag A and -iaw/-iow/-iau/siw/siu in bag B could suggest a very distant link, but correspondences are not systematic or robustly recurring across both sets.","While both bags contain some similar sV, sVw, and sVj-like forms, as well as some 'au' and 'aw' type diphthongs, the core shapes in each bag overall are quite different. The main patterns in bag A (k-/c- plus -au/-ou endings) are not replicated systematically in bag B, where sVw/siV/siam/siwa patterns cluster separately. Thus, only weak, inconclusive similarity on shape alone.",22,80,0
094,narrow,2,"Some limited resemblances in CVC and CVp/t (e.g. kap/kɛp/kap - pit/kit/pit); occasional similar shapes like kap/kip/pit/kit and -p/-t codas, but no strong, recurring or systematic patterns across both bags.","A few forms in both sets have CVC shapes with plosive codas (such as -p or -t), and consonant-vowel onsets sometimes echo each other (e.g. kap vs pit/kit). However, overall, the forms in bag_b are much longer, more complex, and heterogeneous in structure than the relatively neat CVC(-C) forms in bag_a. Any resemblance appears limited, likely coincidental, and not broadly systematic.",30,80,0
095,snake,2,"Some overlap in forms containing 'ŋ', 'ma', and CVV patterns; limited recurring consonant-vowel skeletons across both bags, occasional 'ŋ' and 'm' clusters, and some similarity in forms like 'mwa/mʷa' but no clear widespread congruent shapes.","A few segmental elements ('ŋ', 'ma', CVV, and 'mwa-/mʷa-' sequences) appear sporadically in both bags, but overall, the shapes and consonant-vowel skeletons do not show strong, consistent correspondences. Potential cognacy is possible in isolated forms, but widespread, systematic recurrence is lacking.",16,80,0
096,forest,1,none noted,Both bags have diverse phonological shapes with little overlap in consonant-vowel skeletons or recurring patterns. No clear segmental similarities or repeated forms suggestive of hypothetical cognacy are apparent across multiple items; most forms are quite distinct in structure.,30,80,0
097,wife,2,"Some overlap in open syllables like ma-, mi-, wa-, and presence of CVn/CVk forms, but overall segmental structures differ and most recurring roots (e.g., mai/mi, wa, bin) are not widely paralleled across both bags.","While a few phonological shapes such as 'ma-', 'mi-', and 'wa-' appear in both bags, these are basic and could easily arise independently. The rest of the material shows little systematic correspondence or recurring roots between bags. There is no strong evidence for widespread shared shape or systematic correspondences just from the strings given.",34,80,0
098,husband,2,"Some recurrence of 'ai', 'a', 'wa', 'man', 'ka' shapes in both bags, but overall correspondences are weak, and shared forms appear isolated or result from common vowel/consonant patterns rather than widespread sound correspondences.","Both bags show forms with similar syllabic shapes like 'ai', 'wa', and 'man', and some multi-syllabic patterns beginning with 'ka-' or containing 'a' and 'u' vowels. However, these similarities are isolated, appear mostly in short forms, and lack systematic segmental correspondences across the sets. The overall diversity and lack of recurring shared structure make hypothetical cognacy only weakly supported.",34,80,0
099,intestines,2,"Some recurring 'sai/saj', 'tai/tina', and 'ai/ai' shapes in both bags.","Bag A contains a high density of forms with the structure 'sai/saj', 'tai', 'ai', and similar CVV(VC) shapes, while Bag B shows recurrent forms like 'tinai', 'tina', 'tinaqi', 'tinâi', and 'tnaʔi', indicating possible general similarity in syllable structure and some overlap, especially with the repeated 'ai' and 'tina' patterns. However, the similarities are largely limited to a handful of shapes and do not show consistent, widespread segmental matches across the majority of both bags. Thus, hypothetical shape-based cognacy is weak but not absent.",29,80,0
100,steal,2,"Some recurring shapes in both sets with initial k-, m-, l-, and medial/final -k/-kaw, -n-, -m-, but no robust wide clustering; isolated items with 'lak', 'nak', and 'kaw' across both.","There are a few phonological overlaps, such as the frequent occurrence of -k, and initial l-, m-, and k-/g- in both bags. Both sets show forms ending in -ak or -kaw, and some with medial -n-, but these are relatively common segmental patterns. No strong, systematic recurring patterns are found across multiple items in both sets, suggesting at best weak possible hypothetical cognacy on shape alone.",24,80,0
101,shoulder,4,"Repeated CV-VCV/CV(V)/CVC shapes with b/p/v/w (labials) and a-like vowels in both bags; simple initial+a+labial structures (e.g. ba, pa, wa, va) recur widely; sequences like 'ba', 'va', 'pa' ~ 'ʔba', 'ho/ha', and 'ma' appear across both sets.","Both bags exhibit frequent use of simple CV and CVC syllable structures featuring labial consonants (b, p, v, w) paired with low vowels (a), as well as clusters and sequences like 'ba', 'pa', and 'va/wa'. Such shapes recur independently in multiple items in both bags, increasing the plausibility for hypothetical cognacy. However, a full match of complex or longer forms across the bags is less obvious, thus a 4 is warranted.",23,80,0
102,buy,1,none noted,"Bag A is heavily dominated by monosyllabic or simple disyllabic forms often with -ai/-əi/-ɨi/-au rimes and s/t/ʔ/ɕ/tɕ onsets; Bag B is overwhelmingly polysyllabic, with much more varied syllable structure and no obvious recurring match for Bag A's shapes. No recurring segmental skeletons or correspondences stand out as widely shared in both sets.",25,80,0
103,open,1,none noted,"Bag A displays a high frequency of forms like hai/hoi/kai with diphthongs or long vowels, whereas Bag B features a wide variety of syllable shapes, often CVCV, CVCVC, and many with 'bukas/bukat/boka' but no close matches to A's patterns. There are no obvious recurring segmental shapes or skeletons present in both bags, so hypothetical cognacy on raw shape is not promising.",31,80,0
104,fog,2,"Marginal overlap: Some 'muk/mok/mɔk/mo:k' (bag_a) vs. 'mok/hamog/mos/mowap' (bag_b); a few items with 'lap/lapolopo' and 'lep' in both, and scattered 'mun/mon' vs. 'lemdem/təlum' as possible distant echoes. However, recurring shapes are not robust or systematic.","There is limited evidence for widespread similar segmental shapes across both bags. A few superficial resemblances exist—primarily in CVk and labial-initial forms—but these are isolated and do not appear as recurrent patterns between the two sets. Overall, the forms in each bag display mostly distinct phonological profiles.",31,80,0
105,choose,2,"Some isolated similarities in CV:li/CV:ni and CVC clusters (e.g., 'la:i', 'pili', 'lɨ:k', 'pilik'), but no recurrent or systematic shape matches across both bags.","Most forms in bag_a center around liquids ('l', 'r'), nasal finals, and mid vowels, forming patterns like CVC, CV:C, and clusters with 'l' or 'n'. Bag_b contains highly variable structures, but has some forms like 'pili', 'pilian', and 'pilik' that superficially resemble bag_a's 'lɨk', 'la:i', or 'lik'. However, these similarities are sparse, not widespread, and appear accidental rather than systematic. There is no strong evidence for widespread, recurring shared structures.",34,80,0
106,hundred,1,none noted,"Bag A shows a strong recurrence of monosyllabic or disyllabic CVC or CV:C patterns, especially forms containing p/k and ɛ/a vowels, such as 'pa:k', 'pek', 'peːk', and 'pɛk', while Bag B predominantly contains longer, multi-syllable forms without clear repeated phonological skeletons matching Bag A. There are no widespread or recurring segmental shapes that can be plausibly aligned across both bags.",22,80,0
107,mother,4,"Widespread recurring nV, nai/nei, na/nia, me/mi, and ma~na patterns across both bags.","Both bags show a high density of forms with nV, nai/nei, na/nia, and similar syllabic patterns. Regular repetition of -na, -ne, mi, me, ma, and ni elements on both sides is promising for hypothetical cognacy based on phonological shape alone, though some segments are less similar (e.g., bubuʔ, soɣo). The similarities are particularly broad and systematic, making potential cognacy plausible, though variation in vowels and affixes prevents a top score.",16,80,0
108,father,2,"Isolated resemblance of pa/pɔ/pha in bag_a with pa, papa, bapa in bag_b; some sporadic mama/ama forms in bag_b with very little echo in bag_a.","There are clusters of forms involving pa/pɔ/pha in bag_a and some pa/papa, bapa, opa forms in bag_b, but these are not widespread nor consistently matched. The numerous reduplicated or m-m-initial forms (mama, ama, etc.) dominating bag_b have no clear, frequent counterparts in bag_a. Recurring shape correspondences are limited and appear sporadic rather than systematic.",16,80,0
109,sew,2,"Some potential short CVC/CV(C) shapes (e.g., nip ~ sip ~ tip ~ jip) and -p codas in bag_a, with occasional similar forms in bag_b (e.g., sip, sapsip), but overall shape similarity is scarce and not widespread across both sets. Both lists show some -is/i, -it, -ip, -is endings, and initial nasal clusters, but these are not consistently distributed.","Most of the forms in bag_a center around short, simple CVC or CVCVC shapes featuring -ip/ep/p codas and occasional nasal initials, which surface sporadically in bag_b (sip, sapsip), but the majority of bag_b is polysyllabic with differing structures and little recurrent similarity. There are isolated possible shape overlaps, but little strong or systematic segmental recurrence across both bags.",28,80,0
110,climb,2,"Some superficial similarity in CVN patterns, occasional bilabial or nasal-initial syllables (e.g., forms with ma-, pa-, pi-, pu-, mu-, mi-); both bags have bisyllabic or polysyllabic forms; no widely recurring segmental skeletons across both sets.","Both sets show a wide diversity of forms with various syllable patterns, but recurring roots or shapes (like pin-/pɪn-, pan-, ma-, ka-) that are abundant in bag_a are not systematically matched by similar forms in bag_b. There are isolated similarities like the presence of forms beginning with p/m/k/n and the use of -n/-m endings, but these are generic and not concentrated in both bags. There is no convincing pattern of shared, repeated skeletons to suggest promising hypothetical cognacy.",33,80,0
111,hear,1,none noted,"There are no clear, widespread recurring phonological shapes in both bags. While both sets show some internally repeating patterns (e.g., frequent 'ŋ' or nasal-final forms in bag_b, and certain syllable-structures in bag_a), these do not align across the two bags. No plausible shared skeletons or correspondences are found.",40,80,0
112,smokeexhaust,2,"Some superficial similarities in CVCV, CVCVC, or VCVN strings (e.g., 'wan', 'kwan', 'hɔn', 'aso', 'kahu', 'polo'), and a few repeated syllable structures involving labial and velar elements. However, there are no widespread, distinctive, recurring segmental shapes across both bags.","The forms in both bags occasionally share generic syllable structures (such as -an, -wan, -on, -asu, CVC or CVCV), but the repeating shapes within each bag (e.g., 'kwan', 'fai', 'wan' in bag_a; 'asu', 'so', 'bol' in bag_b) do not cross over between the bags. No clear pattern of segmental correspondences or repeated forms spans both bags, making robust hypothetical cognacy unlikely on form alone.",30,80,0
113,stand,1,none noted,"Bag A shows strong convergence on CVn-type syllables with frequent use of medial or final n, ŋ, or nasal clusters (e.g., in, ən, ɨn, u:n, ŋ). Bag B, by contrast, exhibits much more varied and complex forms, with less recurring use of these shapes or segments. No significant patterns of segmental similarity recur across multiple items in both bags, and there is no clear shared phonological skeleton in evidence.",31,80,0
114,sit,2,"Some nasal-final syllables (-ŋ), but otherwise limited recurring shapes.","A fair number of forms in both bags end with -ŋ or contain -ŋ (e.g., naŋ, laŋ, coŋ, tsɔŋ in bag_a; taloŋ, maluŋqu, sioŋ, aharaŋ in bag_b). However, aside from nasal codas, the segmental shapes and syllable structures otherwise differ greatly and there are no clear recurring roots or widespread patterns linking the two sets more deeply.",20,80,0
115,louse,1,none noted,"Bag A displays recurring 'nan', 'man', and 'tan' shapes, while Bag B overwhelmingly contains forms of the shape 'kutu', 'koto', 'kucu', 'kut', 'kuto', etc. There is no noticeable overlap in syllable structure, onset/coda patterns, or recurring consonant-vowel skeletons across multiple items in both sets. The two bags do not show compelling evidence for hypothetical cognacy on segmental shape alone.",23,80,0
116,see,1,"Minimal overlap; some semblance of CV nasal-final forms (e.g., han, nan vs. niŋ, rang), but these are extremely generic. Many forms differ greatly in syllable structure and segmental inventories.","There is little evidence of widespread, non-trivial shared shapes or recurring patterns between the two bags. The forms from bag_a (e.g., han, nan, laŋ) and isolated nasal-final forms in bag_b (e.g., niŋ, rang) are highly generic and likely to occur independently. No convincing correspondences or recurring segmental patterns span both sets.",23,80,0
117,feather,2,"Some similar CVN/CVŋ and bilabial-initial forms (pun, pɨn, bun vs. bun, buɾ, bɨm'bu, bobow), and nasal-final patterns, but widespread recurrent forms not found.","There are isolated syllabic similarities such as nasal-final (pun/pɨn/hun|bun/buɾ/bɨm'bu), and some forms in both bags use initial bilabials or k-/g-/h- series, but overall most forms do not align well. The similarities are relatively superficial and do not recur across many items in both lists.",24,80,0
118,that,2,"Some overlap in CVN (e.g., 'nan', 'yan', 'kjen', 'koani', 'kjen', 'ina'), n-initial and a-final forms, repeated 'an', 'na', 'an' strings, but overall segmental matches are limited and inconsistent.","There is some recurrence of open syllables ending in -n/-na and some forms with initial k-, n-, or a-, but full segmental similarity is sparse and inconsistent across the sets. The shared shapes are quite general CVN and CV structures, and there are only a few cases of remotely similar patterns without strong or widespread regularity.",21,80,0
119,this,4,"Extensive recurrence of ni, nai, nei, nii, nen, and nan shapes across both bags; many C-initial + ni/nei/nai/nin forms.","Both bags strongly favor forms built around a simple nV or nVn skeleton, with ni, nai, nei, nii, and nen/nan repeatedly found in each set as independent forms and as components of longer compounds. There is also evidence of similar morphological extensions (preposed and postposed elements), as well as considerable overlap in the distribution of nasal-initial and high-front vowel core forms. The widespread recurrence of highly similar CV and CVC shapes, particularly with final -i or -e, raises the score to nearly the highest level.",17,80,0
120,belly,2,"Marginal resemblance of 'po-' / 'pɔk', and limited overlap in -ŋ/-k/-n endings; some forms in both bags show 'po', 'pu', 'bo', 'to', but correspondences are inconsistent and not widespread. No clear, recurring CV(C)-ŋ or CV(C)-k pattern across sets.","There are sporadic phonological similarities such as 'po-', 'bo-', and some nasal codas like -ŋ or -k, especially in short forms, but these do not appear with enough regularity or systematic patterning between the two bags to look strongly promising for hypothetical cognacy. The internal variation within each bag is high, and most similarities are isolated or likely coincidental.",11,80,0
